Part,%C,%Si,%Mn,%P,%S,%Cu,%Cr,%Ni,%Mo,%Sn,%Mg,%Ti,%Al,%B,%V,%Sb,%Nb,%Ce,%CE,%Reject
1,3.52,2.61,0.34,0.025,0.008,0.162,0.037,0.011,0.008,0.007,0.034,0.02,0.007,0.001,0.003,0.002,0,0,4.247,5.16
1,3.58,2.65,0.337,0.028,0.009,0.167,0.037,0.011,0.007,0.007,0.039,0.02,0.007,0.001,0.003,0.002,0,0,4.388,5.16
0,3.51,2.61,0.329,0.023,0.008,0.164,0.034,0.011,0.008,0.007,0.035,0.021,0.008,0.001,0.003,0.001,0,0,4.304,5.16
0,3.57,2.59,0.331,0.024,0.012,0.167,0.034,0.012,0.008,0.007,0.037,0.021,0.008,0.001,0.003,0.002,0,0,4.356,5.16
0,3.59,2.66,0.331,0.023,0.008,0.164,0.034,0.011,0.009,0.007,0.039,0.021,0.009,0.001,0.003,0.001,0,0,4.404,5.16
0,3.52,2.57,0.329,0.023,0.007,0.167,0.033,0.012,0.008,0.007,0.033,0.021,0.008,0.001,0.003,0.002,0,0,4.299,1.18
0,3.58,2.6,0.329,0.024,0.01,0.165,0.034,0.011,0.008,0.007,0.036,0.021,0.009,0.001,0.003,0.001,0,0,4.376,1.18
0,3.52,2.63,0.33,0.022,0.007,0.163,0.034,0.011,0.008,0.007,0.033,0.021,0.008,0.001,0.003,0.001,0,0,4.321,1.18
1,3.5,2.61,0.338,0.024,0.008,0.178,0.039,0.011,0.008,0.009,0.038,0.02,0.006,0.001,0.003,0.001,0,0,4.248,8.35
1,3.52,2.64,0.34,0.024,0.007,0.177,0.039,0.011,0.009,0.009,0.04,0.021,0.007,0.001,0.003,0.001,0,0,4.23,8.35
1,3.51,2.65,0.34,0.025,0.009,0.178,0.039,0.011,0.009,0.009,0.043,0.021,0.009,0.001,0.003,0.002,0,0,4.296,8.35
1,3.52,2.62,0.335,0.023,0.008,0.177,0.039,0.011,0.008,0.008,0.038,0.02,0.006,0.001,0.003,0.001,0,0,4.185,8.35
1,3.52,2.74,0.342,0.02,0.007,0.167,0.039,0.01,0.009,0.008,0.035,0.021,0.007,0.001,0.003,0,0,0,4.252,8.35
1,3.52,2.63,0.335,0.024,0.011,0.165,0.039,0.011,0.009,0.008,0.038,0.022,0.007,0.001,0.003,0.001,0,0,4.296,8.35
0,3.52,2.52,0.339,0.025,0.008,0.159,0.039,0.012,0.01,0.008,0.037,0.021,0.007,0.001,0.003,0.002,0,0,4.289,1.18
0,3.58,2.59,0.341,0.025,0.009,0.158,0.039,0.011,0.01,0.008,0.04,0.021,0.007,0.001,0.003,0.002,0,0,4.37,1.18
0,3.55,2.55,0.339,0.026,0.01,0.159,0.039,0.012,0.01,0.008,0.041,0.021,0.007,0.001,0.003,0.002,0,0,4.328,1.18
